anios_escolaridad,esperado,percentil_5,corte_vigente,pct_sin_deterioro_senalado
0,54.3,33.1,68,85.6
1,57.5,37.2,68,80.1
2,60.6,41.0,68,73.2
3,63.5,44.7,68,65.1
4,66.3,48.2,68,56.1
5,68.9,51.6,68,46.5
6,71.4,54.7,68,36.9
7,73.7,57.7,68,27.9
8,75.8,60.5,68,20.1
9,77.8,63.1,68,13.7
10,79.7,65.5,68,8.8
11,81.3,67.7,68,5.4
12,82.8,69.8,86,65.4
13,84.2,71.6,86,59.2
14,85.4,73.3,86,53.2
15,86.5,74.9,86,47.3
16,87.4,76.2,86,42.0
17,88.1,77.4,86,37.3
18,88.7,78.4,86,33.4
19,89.1,79.2,86,30.2
20,89.4,79.9,86,27.9
