anios_escolaridad,esperado_50,esperado_55,esperado_60,esperado_65,esperado_70,esperado_75,esperado_80,p5_50,p5_55,p5_60,p5_65,p5_70,p5_75,p5_80
0,55.6,55.2,54.7,54.3,53.9,53.4,53.0,45.0,44.4,43.7,43.1,42.4,41.7,41.0
1,58.9,58.4,58.0,57.5,57.1,56.7,56.2,48.7,48.0,47.4,46.7,46.1,45.4,44.7
2,61.9,61.5,61.1,60.6,60.2,59.7,59.3,52.2,51.5,50.9,50.2,49.6,48.9,48.3
3,64.9,64.4,64.0,63.5,63.1,62.7,62.2,55.5,54.9,54.2,53.6,52.9,52.3,51.6
4,67.6,67.2,66.8,66.3,65.9,65.4,65.0,58.6,58.0,57.4,56.7,56.1,55.5,54.8
5,70.2,69.8,69.4,68.9,68.5,68.1,67.6,61.6,61.0,60.4,59.7,59.1,58.5,57.8
6,72.7,72.3,71.8,71.4,70.9,70.5,70.1,64.4,63.8,63.2,62.6,61.9,61.3,60.7
7,75.0,74.6,74.1,73.7,73.3,72.8,72.4,67.0,66.4,65.8,65.2,64.6,64.0,63.4
8,77.1,76.7,76.3,75.8,75.4,75.0,74.5,69.5,68.9,68.3,67.7,67.1,66.5,65.9
9,79.1,78.7,78.3,77.8,77.4,76.9,76.5,71.8,71.2,70.6,70.0,69.4,68.8,68.2
10,81.0,80.5,80.1,79.7,79.2,78.8,78.3,73.9,73.3,72.7,72.1,71.5,70.9,70.3
11,82.6,82.2,81.8,81.3,80.9,80.5,80.0,75.9,75.3,74.7,74.1,73.5,72.9,72.3
12,84.2,83.7,83.3,82.8,82.4,82.0,81.5,77.6,77.1,76.5,75.9,75.3,74.7,74.2
13,85.5,85.1,84.6,84.2,83.8,83.3,82.9,79.3,78.7,78.1,77.6,77.0,76.4,75.8
14,86.7,86.3,85.9,85.4,85.0,84.5,84.1,80.7,80.2,79.6,79.0,78.5,77.9,77.3
15,87.8,87.3,86.9,86.5,86.0,85.6,85.2,82.0,81.4,80.9,80.3,79.8,79.2,78.6
16,88.7,88.2,87.8,87.4,86.9,86.5,86.1,83.1,82.6,82.0,81.5,80.9,80.3,79.8
17,89.4,89.0,88.5,88.1,87.7,87.2,86.8,84.1,83.5,83.0,82.4,81.9,81.3,80.8
18,90.0,89.6,89.1,88.7,88.2,87.8,87.4,84.9,84.3,83.8,83.2,82.7,82.1,81.6
19,90.4,90.0,89.6,89.1,88.7,88.2,87.8,85.5,85.0,84.4,83.9,83.3,82.8,82.2
20,90.7,90.3,89.8,89.4,88.9,88.5,88.1,86.0,85.4,84.9,84.4,83.8,83.3,82.7
